City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
232,Arlit,NE,18.7369,7.3853,65.97,23,28,7.96,scattered clouds
233,Puerto Morazan,NI,12.8504,-87.1717,91.4,40,20,9.22,few clouds
234,East Islip,US,40.732,-73.1857,26.01,45,20,31.07,few clouds
235,Arambagh,IN,22.8833,87.7833,60.04,33,5,6.38,clear sky
236,Wichita,US,37.6922,-97.3375,48.2,53,20,18.41,few clouds
237,Ancud,CL,-41.8697,-73.8203,64.4,52,0,9.22,clear sky
238,Pitimbu,BR,-7.4706,-34.8086,82.4,74,75,11.5,broken clouds
239,Tarakan,ID,3.3,117.6333,78.66,82,100,14.36,moderate rain
240,Manokwari,ID,-0.8667,134.0833,77.16,80,100,4.68,overcast clouds
241,Wewak,PG,-3.5534,143.6268,78.67,85,99,6.06,moderate rain
242,Pacific Grove,US,36.6177,-121.9166,55.4,62,40,2.35,scattered clouds
243,Angoche,MZ,-16.2325,39.9086,81.36,82,89,7.65,overcast clouds
244,Rumoi,JP,43.9344,141.6428,24.22,96,100,15.23,snow
245,Port-Gentil,GA,-0.7193,8.7815,78.8,89,40,2.3,scattered clouds
246,Aragarcas,BR,-15.8975,-52.2508,77.0,83,40,13.8,scattered clouds
247,Coquimbo,CL,-29.9533,-71.3436,66.2,68,0,13.8,clear sky
248,Mackay,AU,-21.15,149.2,73.4,88,75,9.22,broken clouds
249,Tiznit,MA,29.5833,-9.5,64.42,46,0,2.21,clear sky
250,Chanderi,IN,24.7167,78.1333,45.81,54,0,1.16,clear sky
251,Bubaque,GW,11.2833,-15.8333,78.69,72,0,15.66,clear sky
252,Ugoofaaru,MV,5.6667,73.0,80.69,68,0,9.98,clear sky
253,Nishihara,JP,26.1842,127.7558,57.2,58,75,10.36,broken clouds
254,Adrar,MR,20.5022,-10.0711,70.99,20,0,8.41,clear sky
255,Mani,CO,4.8172,-72.2886,96.8,24,2,13.85,clear sky
256,Luanda,AO,-8.8368,13.2343,80.6,78,20,11.5,few clouds
257,Bataipora,BR,-22.2953,-53.2711,73.87,88,100,3.47,overcast clouds
258,Asau,RO,46.4333,26.4,37.4,75,0,9.22,clear sky
259,Gat,IL,31.61,34.7642,53.01,100,29,13.78,scattered clouds
260,Nakamura,JP,32.9833,132.9333,33.35,86,0,6.85,clear sky
261,Hobart,AU,-42.8794,147.3294,61.0,94,40,8.05,scattered clouds
262,Champerico,GT,14.3,-91.9167,91.4,52,40,9.22,scattered clouds
263,Tiksi,RU,71.6872,128.8694,-31.77,85,100,4.56,overcast clouds
264,Wairoa,NZ,-39.0333,177.3667,60.01,72,95,10.0,overcast clouds
265,Port Said,EG,31.2565,32.2841,55.4,67,20,12.66,few clouds
266,Saldanha,ZA,-33.0117,17.9442,65.14,88,0,12.48,clear sky
267,Los Alamos,US,35.8881,-106.307,41.0,41,1,5.75,clear sky
268,Erzin,TR,36.9559,36.2,46.0,73,0,2.15,clear sky
269,Cravo Norte,CO,6.3017,-70.2041,94.26,31,78,10.58,broken clouds
270,Mount Gambier,AU,-37.8333,140.7667,57.2,100,90,9.22,overcast clouds
271,Kahului,US,20.8947,-156.47,75.2,64,40,19.57,scattered clouds
272,Victoria,HK,22.2855,114.1577,60.01,69,0,1.01,clear sky
273,Lipin Bor,RU,60.2622,37.9763,20.53,97,100,9.55,overcast clouds
274,Rio Cuarto,AR,-33.1307,-64.3499,77.0,53,20,18.41,few clouds
275,Bonavista,CA,48.6499,-53.1147,27.0,86,100,6.91,overcast clouds
276,Aksarka,RU,66.5606,67.7975,-43.83,80,22,2.06,few clouds
277,Iquitos,PE,-3.7481,-73.2472,91.4,58,75,8.05,broken clouds
278,Khatanga,RU,71.9667,102.5,-45.09,73,0,2.08,clear sky
279,Kungurtug,RU,50.5994,97.5228,13.14,88,100,4.7,snow
280,Antofagasta,CL,-23.65,-70.4,75.0,60,20,13.8,few clouds
281,Ranong,TH,9.9658,98.6348,75.2,86,100,4.7,overcast clouds
282,Fergus Falls,US,46.283,-96.0776,21.99,86,75,17.27,broken clouds
283,Ponta Do Sol,PT,32.6667,-17.1,57.99,76,53,4.0,broken clouds
284,Xaxim,BR,-26.9617,-52.5347,78.01,80,77,9.22,broken clouds
285,Breves,BR,-1.6822,-50.4803,83.03,83,97,3.24,overcast clouds
286,Fortuna,US,40.5982,-124.1573,51.01,93,1,5.75,clear sky
287,Yulara,AU,-25.2406,130.9889,78.8,65,100,12.66,overcast clouds
288,Deputatskiy,RU,69.3,139.9,-31.85,86,100,1.97,overcast clouds
289,Dickinson,US,29.4608,-95.0513,64.0,59,1,14.97,clear sky
290,Novoleushkovskaya,RU,45.9956,39.9921,37.15,82,100,9.64,overcast clouds
291,Utete,TZ,-7.986,38.758,74.44,95,100,3.13,overcast clouds
292,Esperance,AU,-33.8667,121.9,57.2,88,0,6.91,clear sky
293,Sorsk,RU,54.0033,90.2467,7.25,91,0,5.95,clear sky
294,Belmonte,BR,-15.8631,-38.8828,84.2,74,75,3.44,broken clouds
295,Panzhihua,CN,26.5851,101.7128,43.0,60,0,0.6,clear sky
296,Beloha,MG,-25.1667,45.05,78.44,80,54,11.74,broken clouds
297,Cherskiy,RU,68.75,161.3,-32.4,83,66,4.14,broken clouds
298,Caucaia,BR,-3.7361,-38.6531,82.4,74,0,13.8,clear sky
299,Xai-Xai,MZ,-25.0519,33.6442,76.32,90,0,3.62,clear sky
300,Shkoder,AL,42.0683,19.5126,39.2,100,90,4.61,mist
301,Bato,PH,13.3528,123.3677,72.54,86,100,9.46,overcast clouds
302,Pandharpur,IN,17.6667,75.3333,72.9,42,91,1.34,overcast clouds
303,Bengkulu,ID,-3.8004,102.2655,75.58,88,100,6.04,light rain
304,Beringovskiy,RU,63.05,179.3167,-15.34,86,23,8.88,few clouds
305,Talnakh,RU,69.4865,88.3972,-31.83,67,0,1.21,clear sky
306,Ler,SS,8.3018,30.1418,84.69,13,0,10.07,clear sky
307,Arthur,US,39.7148,-88.4723,34.0,64,0,4.0,clear sky
308,Benghazi,LY,32.1167,20.0667,62.55,78,19,13.76,few clouds
309,Salinopolis,BR,-0.6136,-47.3561,82.35,75,93,14.34,overcast clouds
310,Santa Fe,AR,-31.6333,-60.7,92.05,30,11,2.17,few clouds
311,Ribeira Grande,PT,38.5167,-28.7,60.8,77,20,12.66,few clouds
312,Kazachinskoye,RU,57.6953,93.2761,-20.36,86,100,4.25,overcast clouds
313,Bilibino,RU,68.0546,166.4372,-24.32,79,6,5.46,clear sky
314,Kavieng,PG,-2.5744,150.7967,82.76,82,94,15.39,overcast clouds
315,Birao,CF,10.2849,22.7882,78.89,16,18,8.93,few clouds
316,Vestmannaeyjar,IS,63.4427,-20.2734,36.28,81,97,9.13,overcast clouds
317,Altay,CN,47.8667,88.1167,4.14,79,86,2.04,overcast clouds
318,Chake Chake,TZ,-5.2459,39.7666,79.43,81,0,12.12,clear sky
319,Nenjiang,CN,49.1833,125.2167,-26.5,83,65,6.13,broken clouds
320,Pavlohrad,UA,48.5167,35.8667,33.8,80,75,11.18,light snow
321,Inuvik,CA,68.3499,-133.7218,-29.2,68,5,6.91,clear sky
322,Zeerust,ZA,-25.5369,26.0751,69.8,94,100,10.36,moderate rain
323,Sjovegan,NO,68.8726,17.8474,14.0,84,20,8.1,few clouds
324,Richland,US,40.7834,-82.5499,28.0,54,1,5.75,clear sky
325,Padang,ID,-0.9492,100.3543,75.2,94,75,5.75,light rain
326,Souillac,MU,-20.5167,57.5167,80.6,78,75,9.22,light rain
327,Bar Harbor,US,44.3876,-68.2039,25.0,74,90,14.97,overcast clouds
328,Nazareno Etla,MX,17.1783,-96.8239,77.0,29,40,8.05,scattered clouds
329,Coihaique,CL,-45.5752,-72.0662,62.6,39,20,11.5,few clouds
330,Orshanka,RU,56.9161,47.8933,26.02,98,100,9.37,snow
331,Mecca,SA,21.4267,39.8261,68.74,58,1,11.01,clear sky
332,Loandjili,CG,-4.7561,11.8578,75.2,94,20,3.44,few clouds
333,Port Hardy,CA,50.6996,-127.4199,42.8,81,90,11.5,light rain
334,Camocim,BR,-2.9022,-40.8411,83.34,71,97,14.03,overcast clouds
335,Muros,ES,42.7762,-9.0603,57.99,90,100,10.0,light rain
336,Barabai,ID,-2.5833,115.3833,73.18,87,100,0.67,light rain
337,Grand Gaube,MU,-20.0064,57.6608,81.0,77,0,3.0,light rain
338,Kaeo,NZ,-35.1,173.7833,59.0,94,11,7.0,light rain
339,Sibu,MY,2.3,111.8167,75.2,100,40,1.14,scattered clouds
340,Samarai,PG,-10.6167,150.6667,81.75,77,91,8.48,overcast clouds
341,Cabedelo,BR,-6.9811,-34.8339,84.2,70,40,12.66,scattered clouds
342,Poum,NC,-20.2333,164.0167,79.18,76,7,15.48,clear sky
343,Keshorai Patan,IN,25.3,75.9333,53.38,41,0,1.34,clear sky
344,Cidreira,BR,-30.1811,-50.2056,80.35,87,100,7.85,overcast clouds
345,Hambantota,LK,6.1241,81.1185,76.26,80,96,8.61,overcast clouds
346,Liverpool,GB,53.4106,-2.9779,42.8,93,75,5.75,broken clouds
347,Jiwani,PK,25.05,61.7417,68.68,55,0,7.09,clear sky
